               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.028259,            0.040623,           0.0041494,             0.52725,             0.51463,             0.49933,             0.29854,            0.050645,            0.026781,           0.0084005,           0.0093119,           0.0093119,           0.0093119
                 141,            0.028508,            0.039059,           0.0040165,             0.50521,             0.56329,             0.50396,             0.32986,             0.05124,            0.026004,           0.0085444,            0.009307,            0.009307,            0.009307
                 142,            0.026154,             0.03883,           0.0035886,             0.56326,             0.50115,             0.49723,             0.30317,            0.047166,            0.026739,           0.0085833,            0.009302,            0.009302,            0.009302
                 143,             0.02738,            0.038109,             0.00411,             0.55576,             0.54298,              0.5141,             0.29702,            0.047545,            0.027881,           0.0092794,           0.0092971,           0.0092971,           0.0092971
                 144,            0.027126,            0.039281,           0.0033385,             0.61157,             0.47658,              0.4998,             0.28652,            0.049468,             0.02628,           0.0098765,           0.0092922,           0.0092922,           0.0092922
                 145,            0.028468,            0.038566,           0.0047165,             0.61082,             0.50569,              0.5065,             0.30008,            0.047971,            0.027297,           0.0097634,           0.0092872,           0.0092872,           0.0092872
                 146,            0.030137,            0.042643,           0.0040555,             0.49291,             0.57566,             0.50317,             0.30465,            0.048575,            0.027556,           0.0088867,           0.0092823,           0.0092823,           0.0092823
                 147,             0.03034,            0.038631,           0.0034207,             0.50779,             0.49374,             0.47988,             0.30607,            0.051411,            0.026229,           0.0093278,           0.0092773,           0.0092773,           0.0092773
                 148,            0.026779,            0.042785,           0.0033658,             0.52839,             0.49329,             0.48631,             0.30107,            0.047584,            0.026515,             0.00916,           0.0092724,           0.0092724,           0.0092724
                 149,            0.026365,            0.038915,           0.0038342,              0.6229,             0.48804,             0.51043,             0.31611,            0.050182,            0.026625,           0.0098527,           0.0092674,           0.0092674,           0.0092674
                 150,             0.02627,            0.038783,            0.004988,             0.60303,             0.47448,             0.50402,             0.32146,            0.049724,             0.02579,           0.0099876,           0.0092625,           0.0092625,           0.0092625
                 151,            0.028182,            0.036618,             0.00377,             0.50316,             0.49526,             0.48671,             0.31202,            0.049819,            0.025453,            0.011229,           0.0092575,           0.0092575,           0.0092575
                 152,            0.026464,            0.035624,           0.0047746,             0.62329,             0.49031,             0.50936,             0.34247,            0.047005,             0.02529,            0.010208,           0.0092526,           0.0092526,           0.0092526
                 153,            0.027182,            0.041721,           0.0032392,             0.56045,             0.45359,             0.48952,             0.31554,            0.048934,            0.025971,            0.010841,           0.0092476,           0.0092476,           0.0092476
                 154,            0.027504,            0.038631,            0.003823,             0.57554,             0.46478,             0.51058,             0.31142,            0.050606,            0.026203,            0.010724,           0.0092426,           0.0092426,           0.0092426
                 155,            0.028939,            0.037588,           0.0045118,             0.51386,             0.51092,             0.52764,             0.33395,            0.046985,            0.026059,            0.009984,           0.0092377,           0.0092377,           0.0092377
