               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.042882,            0.017891,           0.0015786,             0.89024,             0.66667,              0.7475,             0.39341,            0.012063,           0.0058768,          0.00043406,           0.0048025,           0.0048025,           0.0048025
                 107,            0.044506,            0.029828,            0.002209,             0.80945,             0.66667,               0.755,             0.41097,            0.015638,           0.0056852,          0.00043742,            0.004753,            0.004753,            0.004753
                 108,            0.052326,            0.023516,           0.0018196,             0.80945,             0.66667,               0.755,             0.41097,            0.015638,           0.0056852,          0.00043742,           0.0047035,           0.0047035,           0.0047035
                 109,            0.046106,            0.019938,           0.0015339,             0.59826,             0.66667,             0.74433,              0.2469,            0.018311,           0.0055307,          0.00038373,            0.004654,            0.004654,            0.004654
                 110,            0.036914,            0.016167,           0.0015687,             0.59826,             0.66667,             0.74433,              0.2469,            0.018311,           0.0055307,          0.00038373,           0.0046045,           0.0046045,           0.0046045
                 111,            0.037628,             0.01905,           0.0017676,             0.75069,             0.66667,              0.8245,             0.44928,            0.013188,           0.0053622,          0.00038312,            0.004555,            0.004555,            0.004555
                 112,            0.044365,            0.016991,           0.0023931,             0.75069,             0.66667,              0.8245,             0.44928,            0.013188,           0.0053622,          0.00038312,           0.0045055,           0.0045055,           0.0045055
                 113,            0.054189,            0.024923,           0.0017241,             0.70339,             0.66667,             0.76194,             0.45257,            0.014655,           0.0054414,          0.00034623,            0.004456,            0.004456,            0.004456
                 114,             0.02878,            0.018471,           0.0067784,             0.70339,             0.66667,             0.76194,             0.45257,            0.014655,           0.0054414,          0.00034623,           0.0044065,           0.0044065,           0.0044065
                 115,            0.054466,            0.034376,           0.0015728,             0.61221,             0.77542,             0.90071,             0.39341,            0.018614,           0.0055798,          0.00030033,            0.004357,            0.004357,            0.004357
                 116,            0.046035,            0.019936,           0.0012101,             0.61221,             0.77542,             0.90071,             0.39341,            0.018614,           0.0055798,          0.00030033,           0.0043075,           0.0043075,           0.0043075
                 117,            0.054088,            0.018614,           0.0011603,             0.58853,             0.66667,              0.8025,             0.35396,            0.016757,           0.0056195,          0.00029627,            0.004258,            0.004258,            0.004258
                 118,            0.044409,            0.014319,           0.0016226,             0.58853,             0.66667,              0.8025,             0.35396,            0.016757,           0.0056195,          0.00029627,           0.0042085,           0.0042085,           0.0042085
                 119,            0.045457,            0.022536,            0.003267,             0.76307,             0.80454,              0.9125,             0.57411,            0.012659,           0.0055295,          0.00029049,            0.004159,            0.004159,            0.004159
                 120,            0.068006,            0.025577,           0.0019179,             0.76307,             0.80454,              0.9125,             0.57411,            0.012659,           0.0055295,          0.00029049,           0.0041095,           0.0041095,           0.0041095
                 121,            0.052674,            0.018831,           0.0021996,             0.72598,             0.80839,              0.8465,             0.55161,            0.014115,            0.005626,          0.00027031,             0.00406,             0.00406,             0.00406
